iata_code,name,city_name,country_code
GBF,Negarbo(Negabo) Airport,Negarbo,PG
GBG,Galesburg Municipal Airport,Galesburg,US
GBH,Galbraith Lake Airport,Galbraith Lake,US
GBI,Kalaburagi Airport,Kalaburagi,IN
GBJ,Marie-Galante Airport,Grand-Bourg,GP
GBK,Gbangbatok Airport,Gbangbatok,SL
GBM,Garbaharey Airport,Garbaharey,SO
GBP,Gamboola Airport,Gamboola,AU
GBR,Walter J. Koladza Airport,Great Barrington,US
GBT,Gorgan Airport,Gorgan,IR
GBU,Khashm El Girba Airport,Khashm El Girba,SD
GBV,Gibb River Airport,Gibb,AU
GBW,Ginbata Airport,Ginbata,AU
GBZ,Great Barrier Aerodrome,Claris,NZ
GCA,Guacamayas Airport,Guacamayas,CO
GCC,Northeast Wyoming Regional Airport,Gillette,US
GCD,Grand Coulee Dam Airport,Electric City,US
GCH,Gachsaran Airport,Gachsaran,IR
GCI,Guernsey Airport,Saint Peter Port,GG
GCJ,Grand Central Airport,Midrand,ZA
GCK,Garden City Regional Airport,Garden City,US
GCM,Owen Roberts International Airport,George Town,KY
GCN,Grand Canyon National Park Airport,Grand Canyon - Tusayan,US
GCT,Grand Canyon Bar Ten Airstrip,Littlefield,US
GCV,Gravatai Airport,Gravatai,BR
GCW,Grand Canyon West Airport,Peach Springs,US
GCY,Greeneville Municipal Airport,Greeneville,US
GDB,Gondia Airport,Gondia,IN
GDC,Donaldson Field Airport,Greenville,US
GDD,Gordon Downs Airport,Gordon Downs,AU
GDE,Gode Airport,Gode,ET
GDH,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,US
GDI,Gordil Airport,Melle,CF
GDL,Guadalajara International Airport,Guadalajara,MX
GDM,Gardner Municipal Airport,Gardner,US
GDN,Gdańsk Lech Wałęsa Airport,Gdańsk,PL
GDO,Guasdualito Airport,Guasdualito,VE
GDP,Guadalupe Airport,Guadalupe,BR
GDQ,Gondar Airport,Azezo,ET
GDR,Angra dos Reis Airport,Angra dos Reis,BR
GDT,JAGS McCartney International Airport,Cockburn Town,TC
GDV,Dawson Community Airport,Glendive,US
GDW,Gladwin Zettel Memorial Airport,Gladwin,US
GDX,Sokol Airport,Magadan,RU
GDZ,Gelendzhik Airport,Gelendzhik,RU
GEA,Nouméa Magenta Airport,Nouméa,NC
GEB,Gebe Airport,Gebe Island,ID
GEC,Lefkoniko Airport / Geçitkale Air Base,Lefkoniko (Geçitkale),CY
GED,Delaware Coastal Airport,Georgetown,US
GEE,George Town Airport,George Town,AU
GEF,Geva Airport,Liangia,SB
GEG,Spokane International Airport,Spokane,US
GEL,Santo Ângelo Airport,Santo Ângelo,BR
GEM,President Obiang Nguema International Airport,Mengomeyén,GQ
GEO,Cheddi Jagan International Airport,Georgetown,GY
GER,Rafael Cabrera Airport,Nueva Gerona,CU
GES,General Santos International Airport,General Santos,PH
GET,Geraldton Airport,Moonyoonooka,AU
GEV,Gällivare Airport,Gällivare,SE
GEW,Gewoia Airport,Gewoia,PG
GEY,South Big Horn County Airport,Greybull,US
GFA,Malmstrom Air Force Base,Great Falls,US
GFD,Pope Field,Greenfield,US
GFE,Grenfell Airport,Grenfell,AU
GFF,Griffith Airport,Griffith,AU
GFK,Grand Forks International Airport,Grand Forks,US
GFL,Floyd Bennett Memorial Airport,Glens Falls,US
GFN,Clarence Valley Regional Airport,Grafton,AU
GFO,Bartica A Airport,Bartica,GY
GFR,Granville Airport,"Bréville-sur-Mer, Manche",FR
GFY,Grootfontein Airport,Grootfontein,NA
GGB,Frederico Carlos Müller Airport,Água Boa,BR
GGC,Lumbala Airport,Lumbala N'guimbo,AO
GGE,Georgetown County Airport,Georgetown,US
GGF,Almeirim Airport,Almeirim,BR
GGG,East Texas Regional Airport,Longview,US
GGH,Engenheiro Gastão de Mesquita Filho Airport,Cianorte,BR
GGJ,Guaíra Airport,Guaíra,BR
GGM,Kakamega Airport,Kakamega,KE
GGN,Gagnoa Airport,Gagnoa,CI
GGO,Guiglo Airport,Guiglo,CI
GGR,Garowe Airport,Garowe,SO
GGS,Gobernador Gregores Airport,Gobernador Gregores,AR
GGT,Exuma International Airport,Moss Town,BS
GGW,Glasgow Valley County Airport Wokal Field,Glasgow,US
GHA,Noumérat - Moufdi Zakaria Airport,El Atteuf,DZ
GHB,Governor's Harbour Airport,Governor's Harbour,BS
GHC,Great Harbour Cay Airport,Bullocks Harbour,BS
GHE,Garachiné Airport,Garachiné,PA
GHF,Giebelstadt Airport,Giebelstadt,DE
GHK,Gahcho Kue,Kennedy Lake,CA
GHM,Centerville Municipal Airport,Centerville,US
GHN,Guanghan Airport,Deyang (Guanghan),CN
GHS,Melalan Airport,Melak-Borneo Island,ID
GHT,Ghat Airport,Ghat,LY
GHU,Gualeguaychu Airport,Gualeguaychu,AR
GHV,Brașov-Ghimbav International Airport,Brașov (Ghimbav),RO
GIB,Gibraltar Airport,Gibraltar,GI
GIC,Boigu Island Airport,Boigu Island,AU
GID,Gitega Airport,Gitega,BI
GIF,Winter Haven Regional Airport - Gilbert Field,Winter Haven,US
GIG,Rio Galeão – Tom Jobim International Airport,Rio de Janeiro,BR
GII,Siguiri Airport,Siguiri,GN
GIL,Gilgit Airport,Gilgit,PK
GIM,Miele Mimbale Airport,Miele Mimbale,GA
GIR,Santiago Vila Airport,Girardot,CO
GIS,Gisborne Airport,Gisborne,NZ
GIT,Mchauru Airport,Geita,TZ
GIU,Sigiriya Air Force Base,Sigiriya,LK
GIY,Giyani Airport,Giyani,ZA
GIZ,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,Jizan,SA
GJA,La Laguna Airport,Guanaja,HN
GJL,Jijel Ferhat Abbas Airport,Tahir,DZ
GJM,Guajará-Mirim Airport,Guajará-Mirim,BR
GJR,Gjögur Airport,Gjögur,IS
GJT,Grand Junction Regional Airport,Grand Junction,US
GKA,Goroka Airport,Goronka,PG
GKD,Gökçeada Airport,Gökçeada,TR
GKE,Geilenkirchen Air Base,Geilenkirchen,DE
GKH,Palungtar Airport,Gorkha,NP
GKK,Kooddoo Airport,Huvadhu Atoll,MV
GKL,Great Keppel Is Airport,Great Keppel Island,AU
GKN,Gulkana Airport,Gulkana,US
GKT,Gatlinburg-Pigeon Forge Airport,Sevierville,US
GLA,Glasgow Airport,Glasgow,GB
GLB,San Carlos Apache Airport,Globe,US
GLC,Geladi Airport,Geladi,ET
GLD,Goodland Municipal Airport,Goodland,US
GLE,Gainesville Municipal Airport,Gainesville,US
GLF,Golfito Airport,Golfito,CR
GLH,Mid Delta Regional Airport,Greenville,US
GLI,Glen Innes Airport,Glen Innes,AU
GLK,Galcaio Airport,Galcaio,SO
GLL,Gol Airport,Klanten flyplass,NO
GLN,Guelmim Airport,Guelmim,MA
GLO,Gloucestershire Airport,"Staverton, Gloucestershire",GB
GLP,Gulgubip Airport,Gulgubip,PG
GLR,Gaylord Regional Airport,Gaylord,US
GLS,Scholes International At Galveston Airport,Galveston,US
GLT,Gladstone Airport,Gladstone,AU
GLU,Gelephu Airport,Gelephu,BT
GLV,Golovin Airport,Golovin,US
GLW,Glasgow Municipal Airport,Glasgow,US
GLX,Gamarmalamo Airport,Galela,ID
GLZ,Gilze Rijen Air Base,Rijen,NL
GMA,Gemena Airport,Gemena,CD
GMB,Gambela Airport,Gambela,ET
GMC,Guerima Airport,Puerto Carreño,CO
GMD,Ben Slimane Airport,Ben Slimane,MA
GME,Gomel Airport,Gomel,BY
GMI,Gasmata Island Airport,Gasmata Island,PG
GMM,Gamboma Airport,Gamboma,CG
GMO,Gombe Lawanti International Airport,Gombe,NG
GMP,Gimpo International Airport,Seoul,KR
GMQ,Golog Maqên Airport,Golog (Maqên),CN
GMS,Antônio Guerreiro Airport,Guimarães,BR
GMT,Granite Mountain Air Station,Granite Mountain,US
GMU,Greenville Downtown Airport,Greenville,US
GMV,Monument Valley Airport,Oljato-Monument Valley,US
GMZ,La Gomera Airport,"Alajero, La Gomera Island",ES
GNA,Hrodna Airport,Hrodna,BY
GNB,Grenoble Alpes Isère Airport,Grenoble,FR
GND,Maurice Bishop International Airport,Saint George's,GD
GNE,Ghent/Industry Zone Heliport,Gent,BE
GNF,Gansner Field,Quincy,US
GNG,Gooding Municipal Airport,Gooding,US
GNI,Lüdao Airport,Lüdao,TW
GNJ,Ganja International Airport,Ganja,AZ
GNM,Guanambi Airport,Guanambi,BR
GNN,Ghinnir Airport,Ghinnir,ET
GNR,Dr. Arturo H. Illia Airport,General Roca,AR
GNS,Binaka Airport,Gunungsitoli,ID
GNT,Grants-Milan Municipal Airport,Grants,US
GNU,Goodnews Airport,Goodnews,US
GNV,Gainesville Regional Airport,Gainesville,US
GNY,Şanlıurfa GAP Airport,Şanlıurfa,TR
GNZ,Ghanzi Airport,Ghanzi,BW
GOA,Genoa Cristoforo Colombo Airport,Genova (GE),IT
GOB,Robe Airport,Goba,ET
GOC,Gora Airstrip,Gora,PG
GOE,Gonaili Airport,Gonaili,PG
GOG,Gobabis Airport,Gobabis,NA
GOH,Nuuk International Airport,Nuuk,GL
GOI,Goa Dabolim International Airport,Vasco da Gama,IN
GOJ,Nizhny Novgorod / Strigino International Airport,Nizhny Novgorod,RU
GOK,Guthrie-Edmond Regional Airport,Guthrie,US
GOL,Gold Beach Municipal Airport,Gold Beach,US
GOM,Goma International Airport,Goma,CD
GON,Groton New London Airport,Groton,US
GOP,Gorakhpur Airport,Gorakhpur,IN
GOQ,Golmud Airport,Golmud,CN
GOR,Gore Airport,Gore,ET
GOS,Somersby Airstrip,Gosford,AU
GOT,Göteborg Landvetter Airport,Göteborg,SE
GOU,Garoua International Airport,Garoua,CM
GOV,Gove Airport,Nhulunbuy,AU
GOX,Manohar International Airport,Mopa,IN
GOY,Tura Mountain Airport,Tura,RU
GOZ,Gorna Oryahovitsa Airport,Gorna Oryahovitsa,BG
GPA,Patras Araxos Agamemnon Airport,Patras,GR
GPB,Tancredo Thomas de Faria Airport,Guarapuava,BR
GPD,Mount Gordon Airport,Mount Gordon Mine,AU
GPI,Guapi Airport,Guapi,CO
GPL,Guapiles Airport,Pococi,CR
GPN,Garden Point Airport,Pirlangimpi,AU
GPO,General Pico Airport,General Pico,AR
GPS,Seymour Galapagos Ecological Airport,Isla Baltra,EC
GPT,Gulfport Biloxi International Airport,Gulfport,US
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids,US
GQQ,Galion Municipal Airport,Galion,US
GRA,Gamarra Airport,Puerto Mosquito,CO
GRB,Austin Straubel International Airport,Green Bay,US
GRC,Grand Cess Airport,Grand Cess,LR
GRD,Greenwood County Airport,Greenwood,US
GRE,Greenville Airport,Greenville,US
GRF,Gray Army Air Field,Fort Lewis/Tacoma,US
GRG,Gardez Airport,Gardez,AF
GRI,Central Nebraska Regional Airport,Grand Island,US
GRJ,George Airport,George,ZA
GRK,Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos,US
GRL,Garasa Airport,Au,PG
GRM,Grand Marais Cook County Airport,Grand Marais,US
GRN,Gordon Municipal Airport,Gordon,US
GRO,Girona-Costa Brava Airport,Girona,ES
GRP,Gurupi Airport,Gurupi,BR
GRQ,Groningen Airport Eelde,Groningen,NL
GRR,Gerald R. Ford International Airport,Grand Rapids,US
GRS,Grosseto Corrado Baccarini Air Base / Grosseto Airport,Grosseto (GR),IT
GRT,Gujrat Airport,Gujrat,PK
GRU,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,São Paulo,BR
GRV,Akhmat Kadyrov Grozny International Airport,Grozny,RU
GRW,Graciosa Airport,Santa Cruz da Graciosa,PT
GRX,F.G.L. Airport Granada-Jaén Airport,Granada,ES
GRY,Grímsey Airport,Grímsey/Sandvík,IS
GRZ,Graz Airport,Feldkirchen bei Graz,AT
GSA,Long Pasia Airport,Long Miau,MY
GSB,Seymour Johnson Air Force Base,Goldsboro,US
GSC,Gascoyne Junction Airport,Gascoyne Junction,AU
GSE,Säve Airport,Göteborg,SE
GSH,Goshen Municipal Airport,Goshen,US
GSI,Grand-Santi Airport,Grand-Santi,GF
GSJ,San José Airport,Puerto San José,GT
GSL,Taltheilei Narrows Airport,Taltheilei Narrows,CA
GSM,Qeshm International Airport,Qeshm(Dayrestan),IR
GSN,Mount Gunson Airport,Mount Gunson,AU
GSO,Piedmont Triad International Airport,Greensboro,US
GSP,Greenville-Spartanburg International Airport,Greenville/Greer/Spartanburg,US
GSQ,El Owainat East International Airport,Sharq El Owainat,EG
GSR,Gardo Airport,Gardo,SO
GSS,Sabi Sabi Airport,Belfast,ZA
GST,Gustavus Airport,Gustavus,US
GSV,Gagarin International Airport,Saratov,RU
GTA,Gatokae Aerodrome,Gatokae,SB
GTC,Chato/Geita Airport,Chato District,TZ
GTE,Groote Eylandt Airport,Groote Eylandt,AU
GTF,Great Falls International Airport,Great Falls,US
GTG,Grantsburg Municipal Airport,Grantsburg,US
GTI,Rügen Airport,Dreschvitz,DE
GTK,Sungai Tekai Airport,Sungai Tekai,MY
GTN,Glentanner Airport,Glentanner Station,NZ
GTO,Jalaluddin Airport,Gorontalo-Celebes Island,ID
GTP,Grants Pass Airport,Grants Pass,US
GTR,Golden Triangle Regional Airport,Columbus/W Point/Starkville,US
GTS,The Granites Airport,The Granites Gold Mine,AU
GTT,Georgetown Airport,Georgetown,AU
GTY,Gettysburg Regional Airport,Gettysburg,US
GTZ,Kirawira B Aerodrome,Grumeti Game Reserve,TZ
GUA,La Aurora International Airport,Guatemala City,GT
GUB,Guerrero Negro Airport,San Quintín,MX
GUC,Gunnison Crested Butte Regional Airport,Gunnison,US
GUD,Goundam Airport,Goundam,ML
GUE,Guriaso (Keraso) Airport,Guriaso,PG
GUF,Jack Edwards National Airport,Gulf Shores,US
GUG,Guari Airport,Guari,PG
GUJ,Edu Chaves Field,Guaratinguetá,BR
GUM,Antonio B. Won Pat International Airport,Hagåtña,GU
